#nucid	Z	A	liso	energy_[keV]	D_energy_[keV]	beta-_%	D_beta-	AME2021_Qb	AME2020_D_Qb	AME2020_Qb1n	AME2020_D_Qb1n	AME2021_Qb2n	AME2021_D_Qb2n	Qb3n	D_Qb3n	T12	D_T12	P1n	D_P1n	P2n	D_P2n	P3n	D_P3n	Neueff_1n	lowerEff	upperEff	Neueff_2n	lowerEff	upperEff	D_T12_Hi	D_P1n_Hi	D_P2n_Hi
83Ge	32	83	0	0	0	100	0	8692.8893	3.6979	1057.6671	4.4439	0	0	0	0	1.85	0.06	0	0	0	0	0	0	0.673309	0.020397526260135	0.020201021373507	0.673023	0.020190825606599	0.020282248092263	0.06	0	0
84Ge	32	84	0	0	0	100	0	7705.1329	4.4789	3449.5782	4.2237	0	0	0	0	0.952	0.011	10.6	0.6	0	0	0	0	0.66834	0.025553463249431	0.020630805123407	0.673023	0.020190825606599	0.020282248092263	0.011	0.6	0
85Ge	32	85	0	0	0	100	0	10065.7253	4.8303	4658.8233	4.8901	403.2686	6.37102869088	0	0	0.497	0.006	16.2	1.8	0	0	0	0	0.6633	0.031099520912709	0.021265469686795	0.673281	0.02023633411626	0.020199323614045	0.006	1.8	0
86Ge	32	86	0	0	0	100	0	9562.2229	437.8158	5717.9072	437.813	311.0053	437.840820027	0	0	0.222	0.022	45	15	0	0	0	0	0.658362	0.036366794837318	0.022684740129426	0.673198	0.020224264942974	0.020196489632696	0.022	15	0
87Ge	32	87	0	0	0	100	0	12028	300	7301	300	3456.6023	300.030554796	0	0	0.1032	0.0035	0	0	0	0	0	0	0.652248	0.04473181567021	0.025297704721053	0.6732	0.020781689464526	0.020203845797273	0.0035	0	0
88Ge	32	88	0	0	0	100	0	10930	447	8027	400	3300	489.702971198	0	0	0.0608	0.0061	0	0	0	0	0	0	0.648905	0.046912774572844	0.026655911354191	0.6732	0.020691264243637	0.020206297063045	0.0061	0	0
84As	33	84	0	0	0	100	0	10094.1624	3.7219	1415.6569	4.3898	0	0	0	0	4.03	0.06	0.281	0.038	0	0	0	0	0.6732	0.020547250545998	0.020207920526368	0.67303	0.020191007870089	0.02028321798458	0.06	0.038	0
85As	33	85	0	0	0	100	0	9224.4929	4.0313	4687.2605	3.643	0	0	0	0	2.023	0.007	62.5	1	0	0	0	0	0.663228	0.031377976527903	0.021250426136565	0.67303	0.020191007870089	0.02028321798458	0.007	1	0
86As	33	86	0	0	0	100	0	11541.0256	4.2666	5380.1773	4.3222	842.9448	5.32459254873	0	0	0.944	0.01	35.4	0.6	0	0	0	0	0.660617	0.033963805184639	0.021742417129199	0.672072	0.020221575034245	0.020198495410936	0.01	0.6	0
87As	33	87	0	0	0	100	0	10808.2192	3.726	6813.9437	3.9001	653.0953	5.0679063764	0	0	0.484	0.035	15.4	2.2	0	0	0	0	0.653951	0.040602303178033	0.024668578077403	0.672069	0.020246037406982	0.02019393529466	0.035	2.2	0
88As	33	88	0	0	0	100	0	13434	200	7905	200	3910.3359	200.04392105	0	0	0.255	0.145	0	0	0	0	0	0	0.649636	0.047651678829254	0.026292130823621	0.67274	0.021120707205016	0.020200472218243	0.145	0	0
86Se	34	86	0	0	0	100	0	5129.086	3.9717	0.9851	3.9717	0	0	0	0	14.1	0.2	0	0	0	0	0	0	0.675057	0.020257612863418	11883.6750570173	0.673022	0.020190799296601	0.020282123341396	0.2	0	0
87Se	34	87	0	0	0	100	0	7465.5526	3.8766	1134.8104	3.8009	0	0	0	0	5.65	0.12	0.6	0.12	0	0	0	0	0.6732	0.02051504891537	0.020215865848388	0.673022	0.020190799296601	0.020282123341396	0.12	0.12	0
88Se	34	88	0	0	0	100	0	6831.764	4.6125	1936.1641	4.6125	0	0	0	0	1.51	0.06	0.99	0.1	0	0	0	0	0.672215	0.02128045419164	0.020209083343945	0.673022	0.020190799296601	0.020282123341396	0.06	0.1	0
89Se	34	89	0	0	0	100	0	9281.873	4.951	3652.2508	4.8901	0	0	0	0	0.44	0.06	7.8	2.5	0	0	0	0	0.667771	0.026163744735739	0.020755730259302	0.673022	0.020190799296601	0.020282123341396	0.06	2.5	0
90Se	34	90	0	0	0	100	0	8200.0834	329.766	4402.7306	329.7651	0	0	0	0	0.21	0.08	0	0	0	0	0	0	0.663816	0.029558470235626	0.021375155430322	0.673022	0.020190799296601	0.020282123341396	0.08	0	0
91Se	34	91	0	0	0	100	0	10527.1716	433.1593	5348.8583	433.1578	1551.5055	433.186030947	0	0	0.27	0.05	21	10	0	0	0	0	0.660765	0.034011073427672	0.02169130230536	0.673796	0.020222664529048	0.020276474265868	0.05	10	0
87Br	35	87	0	0	0	100	0	6817.8455	3.1805	1302.6725	3.171	0	0	0	0	55.64	0.15	2.53	0.1	0	0	0	0	0.6732	0.020534297163526	0.020210826108796	0.673023	0.020190825606599	0.02028215320611	0.15	0.1	0
88Br	35	88	0	0	0	100	0	8975.3282	4.1059	1922.2456	3.1806	0	0	0	0	16.29	0.08	6.72	0.27	0	0	0	0	0.672268	0.021263196689153	0.020207673355476	0.673023	0.020190825606599	0.02028215320611	0.08	0.27	0
89Br	35	89	0	0	0	100	0	8261.5231	3.9045	3345.706	4.1782	0	0	0	0	4.338	0.022	13.7	0.6	0	0	0	0	0.668641	0.025264037468166	0.020570784846303	0.673023	0.020190825606599	0.02028215320611	0.022	0.6	0
90Br	35	90	0	0	0	100	0	10958.9533	3.8396	4464.1704	3.9827	0	0	0	0	1.911	0.01	25.6	1.5	0	0	0	0	0.663597	0.029977034952912	0.021326792575727	0.673023	0.020190825606599	0.02028215320611	0.01	1.5	0
91Br	35	91	0	0	0	100	0	9866.6724	4.1898	5780.64	4.0034	0	0	0	0	0.544	0.01	29.8	0.8	0	0	0	0	0.657863	0.036853883514388	0.022910736568083	0.673023	0.020190825606599	0.02028215320611	0.01	0.8	0
92Br	35	92	0	0	0	100	0	12536.5161	7.2322	6669.8432	7.0715	2583.8108	7.941848594	0	0	0.334	0.014	33.1	2.5	0	0	0	0	0.654461	0.040043692143319	0.02449534424067	0.6732	0.020523891736218	0.020213461257291	0.014	2.5	0
93Br	35	93	0	0	0	100	0	11245.7673	430.8234	7807.7754	430.8245	1941.1025	430.836541176	0	0	0.152	0.008	64	7	0	0	0	0	0.650208	0.04822688705419	0.026112506561753	0.67352	0.020259876489258	0.020264658579902	0.008	7	0
94Br	35	94	0	0	0	100	0	13698	201	8415	200	4976.9126	201.382561634	0	0	0.07	0.02	30	10	0	0	0	0	0.646321	0.047669550611862	0.027519803642775	0.669884	0.021346693423348	0.020374973990423	0.02	10	0
91Kr	36	91	0	0	0	100	0	6771.0748	8.1153	320.281	6.8286	0	0	0	0	8.57	0.04	0	0	0	0	0	0	0.672015	0.020247824209097	0.020195599154333	0.673022	0.020190799296601	0.020282123341396	0.04	0	0
92Kr	36	92	0	0	0	100	0	6003.121	6.6924	904.4019	8.2557	0	0	0	0	1.841	0.008	0.0332	0.0026	0	0	0	0	0.673532	0.020246398704995	0.020232246057262	0.673022	0.020190799296601	0.020282123341396	0.008	0.0026	0
93Kr	36	93	0	0	0	100	0	8483.8977	8.2243	2565.129	6.6194	0	0	0	0	1.284	0.012	1.99	0.2	0	0	0	0	0.66955	0.022155615162979	0.020415434902299	0.673022	0.020190799296601	0.020282123341396	0.012	0.2	0
94Kr	36	94	0	0	0	100	0	7215.0114	12.2782	3200.8023	14.4205	0	0	0	0	0.211	0.005	1.11	0.07	0	0	0	0	0.669011	0.024932929938315	0.02050282583716	0.673022	0.020190799296601	0.020282123341396	0.005	0.07	0
95Kr	36	95	0	0	0	100	0	9731.3868	27.5124	4332.5528	18.74	318.3437	34.9504970759	0	0	0.114	0.003	2.87	0.18	0	0	0	0	0.664151	0.029240206851541	0.021276705377499	0.673205	0.020230359631566	0.020196752482082	0.003	0.18	0
96Kr	36	96	0	0	0	100	0	8272.6693	19.5669	4737.3075	27.955	0	0	0	0	0.08	0.007	3.7	0.4	0	0	0	0	0.663123	0.03178292420178	0.021229617184869	0.673022	0.020190799296601	0.020282123341396	0.007	0.4	0
97Kr	36	97	0	0	0	100	0	11095.646	130.4232	5859.5343	130.4523	2324.1725	131.997534992	0	0	0.0621	0.004	6.7	0.6	0	0	0	0	0.657543	0.037022057724607	0.023060996122546	0.673253	0.020455495247197	0.020204887794989	0.004	0.6	0
98Kr	36	98	0	0	0	100	0	10249	300	6328	300	1091.5623	300.44947835	0	0	0.043	0.004	7	1	0	0	0	0	0.655675	0.038743726925304	0.023997890408586	0.673855	0.020225557938472	0.020227835003344	0.004	1	0
99Kr	36	99	0	0	0	100	0	12721	400	7898	400	3976.3584	400.024877108	0	0	0.037	0.011	11	7	0	0	0	0	0.649539	0.047551952612578	0.026385505893746	0.672585	0.021179739564086	0.020203012646695	0.011	7	0
100Kr	36	100	0	0	0	100	0	11796	400	8580	400	3756.6322	400.538245691	0	0	0.011	0.007	0	0	0	0	0	0	0.645175	0.048065306808159	0.02799855466917	0.673154	0.021013499421667	0.020201236742942	0.007	0	0
91Rb	37	91	0	0	0	100	0	5906.901	8.8732	134.5782	7.9347	0	0	0	0	57.9	0.2	0	0	0	0	0	0	0.673165	0.020205311541832	0.020195394561694	0.673021	0.02019077303614	0.020282093476683	0.2	0	0
92Rb	37	92	0	0	0	100	0	8094.9212	6.4187	808.182	7.5845	0	0	0	0	4.5	0.02	0.0109	0.0007	0	0	0	0	0.673677	0.020215938249216	0.020296915019187	0.673021	0.02019077303614	0.020282093476683	0.02	0.0007	0
93Rb	37	93	0	0	0	100	0	7465.9434	8.8761	2176.1525	8.5453	0	0	0	0	5.85	0.03	1.6	0.1	0	0	0	0	0.67083	0.021480495804567	0.02028255841875	0.673021	0.02019077303614	0.020282093476683	0.03	0.1	0
94Rb	37	94	0	0	0	100	0	10282.9297	2.623	3451.7343	7.8215	0	0	0	0	2.704	0.015	10.39	0.22	0	0	0	0	0.668289	0.025606292386226	0.020641392631528	0.673021	0.02019077303614	0.020282093476683	0.015	0.22	0
95Rb	37	95	0	0	0	100	0	9226.9772	20.2036	4884.0956	20.3132	0	0	0	0	0.378	0.002	8.8	0.4	0	0	0	0	0.662854	0.032704237933094	0.021175626715269	0.673021	0.02019077303614	0.020282093476683	0.002	0.4	0
96Rb	37	96	0	0	0	100	0	11563.897	9.1062	5691.6154	6.6941	1348.7339	12.5445999558	0	0	0.2016	0.001	14.1	0.8	0	0	0	0	0.6584	0.036201322462032	0.022662652647031	0.673937	0.020231538274983	0.020296138942471	0.001	0.8	0
97Rb	37	97	0	0	0	100	0	10061.5295	3.8872	6327.7853	8.6795	455.5037	7.76640977544	0	0	0.169	0.001	24.9	1.5	0	0	0	0	0.655642	0.03875787152241	0.024012556401758	0.67312	0.020194932655496	0.020193600619008	0.001	1.5	0
98Rb	37	98	0	0	0	100	0	12053.2361	16.4029	6140.2035	16.4348	2406.4594	18.7386960168	0	0	0.115	0.006	7.15	0.9	0.027	0.007	0	0	0.656408	0.037723723201954	0.023616682349932	0.6732	0.020514346589643	0.020216043529831	0.006	0.9	0.007
98Rb	37	98	1	270	0	100	0	0	0	0	0	0	0	0	0	0.096	0.003	7.15	0.9	0.027	0.007	0	0	0.673097	0.020193766619135	0.020193685727675	0.673021	0.02019077303614	0.020282093476683	0.003	0.9	0.007
99Rb	37	99	0	0	0	100	0	11397.3767	6.2201	7229.9204	5.1629	1316.8879	8.51970234281	0	0	0.0578	0.0009	19.1	2.3	0	0	0	0	0.652345	0.044512908230338	0.025239855786484	0.673961	0.020233146259762	0.020292112151496	0.0009	2.3	0
100Rb	37	100	0	0	0	100	0	13551.6204	14.8355	8181.3246	13.9528	4013.8682	16.6838753319	0	0	0.051	0.002	5.6	1.2	0.15	0.05	0	0	0.647754	0.046248672889764	0.026961877161363	0.672441	0.021208091489639	0.020203965072057	0.002	1.2	0.05
101Rb	37	101	0	0	0	100	0	12757.4969	22.1781	9178.769	21.629	3808.4731	24.2119846741	0	0	0.0315	0.0045	28	5	0	0	0	0	0.641711	0.049319462241279	0.029214215422785	0.672994	0.021042382769839	0.020199646819497	0.0045	5	0
102Rb	37	102	0	0	0	100	0	14906.9991	106.6347	10001.2842	83.3355	6422.5563	126.162094591	600	300	0.037	0.005	18	8	0	0	0	0	0.637415	0.055719119869238	0.031906281121474	0.669402	0.024569930196148	0.020438051224214	0.005	8	0
103Rb	37	103	0	0	0	100	0	14120	447	10928	405	6022	489.702971198	2000	400	0.025	0.011	0	0	0	0	0	0	0.633433	0.049868595979234	0.033615637282968	0.669462	0.023724524726527	0.020428756117287	0.011	0	0
96Sr	38	96	0	0	0	100	0	5411.738	9.7257	218.3712	10.8455	0	0	0	0	1.069	0.013	0	0	0	0	0	0	0.673147	0.020197138887677	0.020194442088062	0.673021	0.02019077303614	0.020282093476683	0.013	0	0
97Sr	38	97	0	0	0	100	0	7534.7807	7.5131	1677.9938	6.954	0	0	0	0	0.429	0.005	0.03	0.02	0	0	0	0	0.6732	0.020869991303304	0.020202237994836	0.673021	0.02019077303614	0.020282093476683	0.005	0.02	0
98Sr	38	98	0	0	0	100	0	5866.3591	8.5504	1621.7482	7.4431	0	0	0	0	0.653	0.002	0.23	0.03	0	0	0	0	0.6732	0.020789968061544	0.020203244714649	0.673021	0.02019077303614	0.020282093476683	0.002	0.03	0
99Sr	38	99	0	0	0	100	0	8125.2037	8.1353	1698.9028	9.2267	0	0	0	0	0.269	0.002	0.096	0.016	0	0	0	0	0.6732	0.020900821514955	0.020201894960622	0.673021	0.02019077303614	0.020282093476683	0.002	0.016	0
100Sr	38	100	0	0	0	100	0	7503.7365	13.1453	2754.9078	9.5704	0	0	0	0	0.2007	0.0013	1.11	0.21	0	0	0	0	0.669495	0.023264829260549	0.02042371720629	0.673021	0.02019077303614	0.020282093476683	0.0013	0.21	0
101Sr	38	101	0	0	0	100	0	9729.8721	11.0473	3925.0086	14.0311	0	0	0	0	0.115	0.001	2.52	0.25	0	0	0	0	0.666455	0.027358758475532	0.020947757405567	0.673021	0.02019077303614	0.020282093476683	0.001	0.25	0
102Sr	38	102	0	0	0	100	0	9013.3301	67.1916	4824.1573	67.4403	0	0	0	0	0.072	0.008	5.5	2	0	0	0	0	0.662936	0.032426209261744	0.021193789233792	0.673021	0.02019077303614	0.020282093476683	0.008	2	0
103Sr	38	103	0	0	0	100	0	11177	201	5821	200	1632.1169	201.436597911	0	0	0.053	0.01	0	0	0	0	0	0	0.657614	0.03699188856623	0.023027672151053	0.673734	0.020219072888746	0.02032562590624	0.01	0	0
104Sr	38	104	0	0	0	100	0	10320	361	6626	300	1270	412.699648655	0	0	0.053	0.005	0	0	0	0	0	0	0.654553	0.039999734634471	0.024506527922741	0.673993	0.020235334359583	0.020247242371348	0.005	0	0
105Sr	38	105	0	0	0	100	0	12380	640	7818	539	4125	754.718490565	0	0	0.039	0.005	0	0	0	0	0	0	0.650074	0.048083541736528	0.026283093138526	0.672149	0.021365338620787	0.020217256252541	0.005	0	0
106Sr	38	106	0	0	0	100	0	11490	781	8198	721	3637	948.937300352	-550	600	0.0205	0.0075	0	0	0	0	0	0	0.647641	0.046755114237834	0.027502385412777	0.6732	0.020960422157008	0.02020607482912	0.0075	0	0
97Y	39	97	0	0	0	100	0	6821.2382	6.7068	1252.0872	6.7069	0	0	0	0	3.74	0.05	0.058	0.01	0	0	0	0	0.6732	0.020529254053667	0.020212076884873	0.673022	0.020190799296601	0.020282123341396	0.05	0.01	0
97Y	39	97	1	667.52	0.23	99.3	0	0	0	0	0	0	0	0	0	1.17	0.03	0.04	0.04	0	0	0	0	0.673097	0.020193775854656	0.020193694517549	0.673022	0.020190799296601	0.020282123341396	0.03	0.04	0
97Y	39	97	2	3522.6	0.4	5.2	0.9	0	0	0	0	0	0	0	0	0.138	0.015	0	0	0	0	0	0	0.673097	0.020193775854656	0.020193694517549	0.673022	0.020190799296601	0.020282123341396	0.015	0	0
98Y	39	98	0	0	0	100	0	8993.0098	11.5755	2576.6272	7.9177	0	0	0	0	0.548	0.002	0.33	0.03	0	0	0	0	0.669546	0.022236777228376	0.020416032364404	0.673022	0.020190799296601	0.020282123341396	0.002	0.03	0
98Y	39	98	1	0	0	100	0	0	0	0	0	0	0	0	0	2.32	0.08	3.44	0.95	0	0	0	0	0.673097	0.020193775854656	0.020193694517549	0.673022	0.020190799296601	0.020282123341396	0.08	0.95	0
99Y	39	99	0	0	0	100	0	6972.9398	12.4082	2566.709	10.7257	0	0	0	0	1.478	0.007	1.97	0.3	0	0	0	0	0.669549	0.0221771566496	0.020415584195925	0.673022	0.020190799296601	0.020282123341396	0.007	0.3	0
100Y	39	100	0	0	0	100	0	9051.4949	13.8293	2224.1111	15.3353	0	0	0	0	0.732	0.005	0.51	0.06	0	0	0	0	0.670575	0.021443749032352	0.020303934509412	0.673022	0.020190799296601	0.020282123341396	0.005	0.06	0
100Y	39	100	1	145	15	100	0	0	0	0	0	0	0	0	0	0.94	0.03	0.51	0.06	0	0	0	0	0.673097	0.020193775854656	0.020193694517549	0.673022	0.020190799296601	0.020282123341396	0.03	0.06	0
101Y	39	101	0	0	0	100	0	8106.2003	10.9331	3246.6313	10.7899	0	0	0	0	0.432	0.012	1.98	0.2	0	0	0	0	0.668875	0.025053031534377	0.020527055659848	0.673022	0.020190799296601	0.020282123341396	0.012	0.2	0
102Y	39	102	1	0	0	100	0	0	0	0	0	0	0	0	0	0.396	0.036	6	1.7	0	0	0	0	0.673097	0.020193775854656	0.020193694517549	0.673022	0.020190799296601	0.020282123341396	0.036	1.7	0
102Y	39	102	0	0	0	100	0	10408.7856	9.6618	3917.0275	9.2779	0	0	0	0	0.3	0.01	4	1.5	0	0	0	0	0.666426	0.027384759413375	0.020951407521415	0.673022	0.020190799296601	0.020282123341396	0.01	1.5	0
103Y	39	103	0	0	0	100	0	9351.96	14.513	5053.0753	14.222	0	0	0	0	0.236	0.016	8.1	2	0	0	0	0	0.662547	0.033766007914589	0.021114522265211	0.673022	0.020190799296601	0.020282123341396	0.016	2	0
104Y	39	104	0	0	0	100	0	11638	200	5658	200	1359.1309	200.408204807	0	0	0.212	0.02	34	10	0	0	0	0	0.658516	0.036080962487583	0.022610992703338	0.673926	0.020230810763002	0.020286881404701	0.02	10	0
105Y	39	105	0	0	0	100	0	10888	400	7076	400	1096.0836	400.289493793	0	0	0.1055	0.0075	41	41	0	0	0	0	0.652916	0.043403193393464	0.025066741646062	0.673898	0.020228985811543	0.0202264753223	0.0075	41	0
106Y	39	106	0	0	0	100	0	12959	539	7597	500	3785	574.909558105	0	0	0.0845	0.0075	0	0	0	0	0	0	0.650931	0.047157288154483	0.025864023876514	0.67305	0.02106069363174	0.020201577073338	0.0075	0	0
107Y	39	107	0	0	0	100	0	12050	583	8708	539	3346	655.659210261	0	0	0.0335	0.003	0	0	0	0	0	0	0.644388	0.047951457006952	0.028430788136976	0.6732	0.020737948693157	0.020206781435944	0.003	0	0
108Y	39	108	0	0	0	100	0	14170	721	9169	671	5827	848.321872876	-50	600	0.03	0.005	0	0	0	0	0	0	0.641689	0.049016470491549	0.029556025180137	0.669488	0.023409258615548	0.020424781710697	0.005	0	0
109Y	39	109	0	0	0	100	0	13250	860	10398	806	5398	1038.98460046	1140	820	0.025	0.005	0	0	0	0	0	0	0.635534	0.052167898171581	0.033271645700813	0.669552	0.022259298206224	0.02041925889041	0.005	0	0
103Zr	40	103	0	0	0	100	0	7219.674	10.027	417.9533	9.5566	0	0	0	0	1.38	0.072	0.5	0.5	0	0	0	0	0.672314	0.020208551460617	0.020193311445536	0.673022	0.020190799296601	0.020282123341396	0.072	0.5	0
104Zr	40	104	0	0	0	100	0	6093.3367	9.4851	1239.6896	10.1127	0	0	0	0	0.92	0.028	0.5	0.5	0	0	0	0	0.6732	0.020527999050078	0.020212397482733	0.673022	0.020190799296601	0.020282123341396	0.028	0.5	0
105Zr	40	105	0	0	0	100	0	8457.2728	12.7625	2281.4048	12.2408	0	0	0	0	0.666	0.028	1	1	0	0	0	0	0.67024	0.021396123196505	0.020335709769762	0.673022	0.020190799296601	0.020282123341396	0.028	1	0
106Zr	40	106	0	0	0	100	0	7453	200	3095	200	0	0	0	0	0.175	0.007	3.5	3.5	0	0	0	0	0.669263	0.024726590764845	0.020460245253958	0.673022	0.020190799296601	0.020282123341396	0.007	3.5	0
107Zr	40	107	0	0	0	100	0	9704	300	4111	300	0	0	0	0	0.15	0.003	11.5	11.5	0	0	0	0	0.665309	0.028386023232093	0.021139623552299	0.673022	0.020190799296601	0.020282123341396	0.003	11.5	0
108Zr	40	108	0	0	0	100	0	8595	400	4703	400	0	0	0	0	0.0785	0.002	0	0	0	0	0	0	0.663153	0.031735159307432	0.021298608787151	0.673022	0.020190799296601	0.020282123341396	0.002	0	0
109Zr	40	109	0	0	0	100	0	10960	660	5744	500	1851.3689	788.204792771	0	0	0.056	0.003	0	0	0	0	0	0	0.657894	0.03698706564074	0.022912553496117	0.673578	0.020260592633869	0.020235967134674	0.003	0	0
110Zr	40	110	0	0	0	100	0	10090	976	6399	660	1182.6472	1286.64903668	0	0	0.0375	0.002	0	0	0	0	0	0	0.655269	0.039772733639076	0.024259727371199	0.674054	0.020239645041957	0.020277696230697	0.002	0	0
111Zr	40	111	0	0	0	100	0	12480	671	7758	1031	4067	851.977699239	0	0	0.024	0.005	0	0	0	0	0	0	0.650254	0.04825762695227	0.026346838881817	0.672284	0.021337627679534	0.02021479379045	0.005	0	0
112Zr	40	112	0	0	0	100	0	11650	761	8469	761	3747	1170.99146026	0	0	0.04	0.02	0	0	0	0	0	0	0.64562	0.04823090199198	0.028127926958096	0.673136	0.021148329202242	0.020207415051075	0.02	0	0
103Nb	41	103	0	0	0	100	0	5925.6639	10.027	460.8801	9.1886	0	0	0	0	1.36	0.07	0	0	0	0	0	0	0.672992	0.02019451046343	0.020189993012817	0.673019	0.020190724551757	0.02028174938029	0.07	0	0
104Nb	41	104	0	0	0	100	0	8532.7512	9.0879	1072.0168	9.3937	0	0	0	0	4.9	0.4	0.06	0.03	0	0	0	0	0.673273	0.020433032087189	0.020203704196907	0.673019	0.020190724551757	0.02028174938029	0.4	0.03	0
104Nb	41	104	1	8.7	0.2	100	0	0	0	0	0	0	0	0	0	0.87	0.03	0.05	0.03	0	0	0	0	0.673098	0.020193751183067	0.020193689654038	0.673019	0.020190724551757	0.02028174938029	0.03	0.03	0
105Nb	41	105	0	0	0	100	0	7415.2411	9.9106	2356.8831	9.7789	0	0	0	0	2.91	0.07	1.7	0.9	0	0	0	0	0.669785	0.021331783694818	0.020385548695154	0.673019	0.020190724551757	0.02028174938029	0.07	0.9	0
106Nb	41	106	0	0	0	100	0	9925.3249	9.2388	3056.7913	9.1653	0	0	0	0	1.013	0.042	4.5	0.3	0	0	0	0	0.669401	0.024586625509022	0.020438207600494	0.673019	0.020190724551757	0.02028174938029	0.042	0.3	0
107Nb	41	107	0	0	0	100	0	8821.1703	12.2239	4332.8805	12.1537	0	0	0	0	0.287	0.011	7.4	1	0	0	0	0	0.66406	0.029313087934232	0.021290684259554	0.673019	0.020190724551757	0.02028174938029	0.011	1	0
108Nb	41	108	0	0	0	100	0	11204.0998	12.3668	4928.4592	12.3668	440.1693	17.9251700982	0	0	0.192	0.006	6.3	0.5	0	0	0	0	0.662753	0.0330520164908	0.021155304632836	0.673196	0.020202754712524	0.020196071721362	0.006	0.5	0
109Nb	41	109	0	0	0	100	0	9969.4851	430.961	5988.1798	430.9147	0	0	0	0	0.113	0.011	31	5	0	0	0	0	0.656885	0.037400869734573	0.023382803700637	0.673019	0.020190724551757	0.02028174938029	0.011	5	0
110Nb	41	110	0	0	0	100	0	12225.9002	838.6945	6278.0523	838.4192	2296.747	839.094784121	0	0	0.075	0.001	20	8	0	0	0	0	0.655688	0.038940525510188	0.024006805743572	0.673265	0.02051137168018	0.020243954164207	0.001	8	0
110Nb	41	110	1	0	0	100	0	0	0	0	0	0	0	0	0	0.094	0.009	20	8	0	0	0	0	0.673098	0.020193751183067	0.020193689654038	0.673019	0.020190724551757	0.02028174938029	0.009	8	0
111Nb	41	111	0	0	0	100	0	10980	300	7504	301	1556.835	300.47158183	0	0	0.054	0.002	0	0	0	0	0	0	0.651182	0.046679441110746	0.025707164320703	0.673782	0.020221836938607	0.020301534084192	0.002	0	0
112Nb	41	112	0	0	0	100	0	13410	361	7799	300	4323	413.672575837	0	0	0.038	0.002	0	0	0	0	0	0	0.65002	0.048036271715861	0.026203595351783	0.671596	0.021511472229822	0.020235401367267	0.002	0	0
113Nb	41	113	0	0	0	100	0	12440	500	9199	447	3587	583.095189485	-180	400	0.032	0.004	0	0	0	0	0	0	0.641401	0.048263654674309	0.02947609132027	0.6732	0.020895167288155	0.020203762421886	0.004	0	0
114Nb	41	114	0	0	0	100	0	14720	583	9619	583	6377	685.718601177	340	500	0.017	0.005	0	0	0	0	0	0	0.639185	0.050811225470387	0.030860559259393	0.669404	0.024583237880605	0.020437738614984	0.005	0	0
115Nb	41	115	0	0	0	100	0	13670	640	10729	583	5628	812.15762017	1900	540	0.023	0.008	0	0	0	0	0	0	0.63402	0.050616695598982	0.033835358921696	0.669517	0.02292540983189	0.020420386895456	0.008	0	0
109Mo	42	109	0	0	0	100	0	7623.5438	14.7805	1192.2278	14.2078	0	0	0	0	0.692	0.026	1.3	0.6	0	0	0	0	0.6732	0.020522824367031	0.020213711485029	0.673022	0.020190799296601	0.020282123341396	0.026	0.6	0
110Mo	42	110	0	0	0	100	0	6498.7491	26.0147	1675.6959	26.0781	0	0	0	0	0.287	0.01	2	0.7	0	0	0	0	0.6732	0.020879602893733	0.020202138995661	0.673022	0.020190799296601	0.020282123341396	0.01	0.7	0
111Mo	42	111	0	0	0	100	0	9084.862	6.7999	3023.432	15.3154	0	0	0	0	0.186	0.009	6	6	0	0	0	0	0.669407	0.024490231674774	0.02043727005948	0.673022	0.020190799296601	0.020282123341396	0.009	6	0
111Mo	42	111	1	0	0	100	0	0	0	0	0	0	0	0	0	0.2	0.1	0	0	0	0	0	0	0.673097	0.020193766619135	0.02019370335694	0.673022	0.020190799296601	0.020282123341396	0.1	0	0
112Mo	42	112	0	0	0	100	0	7779	200	3474	201	0	0	0	0	0.125	0.005	0	0	0	0	0	0	0.66818	0.02573490590929	0.020664425014019	0.673022	0.020190799296601	0.020282123341396	0.005	0	0
113Mo	42	113	0	0	0	100	0	10162	300	4538	300	232.4906	300.205287162	0	0	0.08	0.002	0	0	0	0	0	0	0.663426	0.030661533355793	0.021327748984091	0.673126	0.02019379673782	192158.673126001	0.002	0	0
114Mo	42	114	0	0	0	100	0	8920	527	5060	300	0	0	0	0	0.058	0.002	0	0	0	0	0	0	0.662472	0.034063682430201	0.021278812107484	0.673022	0.020190799296601	0.020282123341396	0.002	0	0
115Mo	42	115	0	0	0	100	0	11247	445	5979	589	2119	486.251992284	0	0	0.0455	0.002	0	0	0	0	0	0	0.656891	0.037454524537002	0.023386185479742	0.673391	0.020345805071142	0.020222035777659	0.002	0	0
116Mo	42	116	0	0	0	100	0	10003	582	6515	537	1247	784.474346298	0	0	0.032	0.004	0	0	0	0	0	0	0.654812	0.03983379581222	0.024471545288551	0.674005	0.020236167893712	0.020285101676415	0.004	0	0
117Mo	42	117	0	0	0	100	0	12450	640	7453	582	3964	779.503046819	0	0	0.022	0.005	0	0	0	0	0	0	0.651419	0.046487250318823	0.025755508502161	0.672526	0.021247533212314	0.02020790487924	0.005	0	0
118Mo	42	118	0	0	0	100	0	10920	640	7698	640	2701	811.542358722	-520	930	0.0205	0.0055	0	0	0	0	0	0	0.650485	0.047997165152772	0.026136668316802	0.6732	0.020534297163526	0.020200577120469	0.0055	0	0
