#nucid	Z	A	liso	energy_[keV]	D_energy_[keV]	beta-_%	D_beta-	QB-	QB-_unc	QB-n	QB-n_unc	QB-2n	QB-2n_unc	QB-3n	QB-3n_unc	T1/2_[s]	D_T1/2_[s]	pn1_%	D_pn1	pn2_%	D_pn2	pn3_%	D_pn3	Neueff_unity	lowerEff	upperEff
66V	23	66	0	0	0	0	0	19110	640	14540	580	11730	670	6180	610	0	0	0	0	0	0	0	0	0.614427	0.07286987364128	0.042712169044619
60Cr	24	60	0	0	0	100	0	6300	190	780	190	0	0	0	0	0.492	0.013	0	0	0	0	0	0	0.673735	0.02021912931366	0.020332838813174
61Cr	24	61	0	0	0	100	0	9270	100	2420	100	0	0	0	0	0.234	0.01	0	0	0	0	0	0	0.669641	0.021311643718702	0.020402922780644
62Cr	24	62	0	0	0	100	0	7630	150	2780	150	0	0	0	0	0.2	0.012	0	0	0	0	0	0	0.669495	0.02325827129265	0.02042371720629
63Cr	24	63	0	0	0	100	0	10880	360	4450	360	0	0	0	0	0.129	0.002	0	0	0	0	0	0	0.663735	0.029569398627678	0.021342512954254
64Cr	24	64	0	0	0	100	0	9510	440	5340	440	0	0	0	0	0.0429	0.001	0	0	0	0	0	0	0.661154	0.033953726077478	0.021546647988594
65Cr	24	65	0	0	0	100	0	12750	300	6700	300	2520	300	0	0	0.028	0.003	0	0	0	0	0	0	0.65454	0.039969925524574	0.02446857477337
66Cr	24	66	0	0	0	100	0	12030	400	8180	400	2130	400	0	0	0.023	0.004	0	0	0	0	0	0	0.648299	0.046308175412781	0.026759798841936
67Cr	24	67	0	0	0	0	0	14780	500	10000	400	6140	400	100	400	0	0	0	0	0	0	0	0	0.637941	0.056964166425332	0.031571885397184
68Cr	24	68	0	0	0	100	0	13580	640	10590	580	5810	500	1950	500	0	0	0	0	0	0	0	0	0.635159	0.051688437428045	0.033350500757154
61Mn	25	61	0	0	0	100	0	7178.4	3.5	1599.6	4.1	0	0	0	0	0.709	0.008	0	0	0	0	0	0	0.6732	0.02072305846153	0.020204183749907
62Mn	25	62	0	0	0	100	0	10354.1	7.1	2325.2	7	0	0	0	0	0.092	0.013	0	0	0	0	0	0	0.670207	0.021391093580369	0.020339086546945
62Mn	25	62	1	0	0	100	0	10354.1	7.1	2325.2	7	0	0	0	0	0.671	0.005	0	0	0	0	0	0	0.670207	0.021391093580369	0.020339086546945
63Mn	25	63	0	0	0	100	0	8748.6	5.7	3919.7	4.7	0	0	0	0	0.276	0.006	0	0	0	0	0	0	0.666634	0.027201482403729	0.020925036128055
64Mn	25	64	0	0	0	100	0	11980.5	6.1	4575.3	5.6	0	0	0	0	0.09	0.004	2.7	0.6	0	0	0	0	0.663479	0.030420617516693	0.021302395290129
65Mn	25	65	0	0	0	100	0	10250.6	6.3	5930.9	6.3	0	0	0	0	0.0919	0.0009	7.9	1.2	0	0	0	0	0.657463	0.037059714809104	0.023098404224797
66Mn	25	66	0	0	0	100	0	13317	12	6396	12	2077	12	0	0	0.064	0.002	4	1	0	0	0	0	0.655663	0.038728898985281	0.024001605959021
67Mn	25	67	0	0	0	100	0	12150	400	8540	300	1620	300	0	0	0.047	0.004	0	0	0	0	0	0	0.646002	0.047969168489808	0.02762401040044
68Mn	25	68	0	0	0	100	0	15110	540	9160	480	5550	400	0	0	0.0352	0.002	15	9	0	0	0	0	0.642321	0.049115886679738	0.02896628677164
69Mn	25	69	0	0	0	100	0	14260	570	10650	540	4700	480	1080	400	0.0258	0.0028	50	20	0	0	0	0	0.634813	0.051295325629848	0.03345711963801
70Mn	25	70	0	0	0	100	0	17010	640	11460	640	7840	620	1900	570	0.0199	0.0017	50	20	0	0	0	0	0.630838	0.047683447998437	0.034347175910395
65Fe	26	65	0	0	0	100	0	7967.3	5.5	503	21	0	0	0	0	0.81	0.05	0	0	0	0	0	0	0.673541	0.020207482668875	0.020216617788663
65Fe	26	65	1	402	5	100	0	7967.3	5.5	503	21	0	0	0	0	1.12	0.15	0	0	0	0	0	0	0.673541	0.020207482668875	0.020216617788663
66Fe	26	66	0	0	0	100	0	6341	15	1046	4.6	0	0	0	0	0.351	0.006	0	0	0	0	0	0	0.673339	0.020370401371326	0.020200384081222
67Fe	26	67	0	0	0	100	0	9710	270	2730	270	0	0	0	0	0.395	0.009	0	0	0	0	0	0	0.669509	0.022985235412606	0.020421595235752
68Fe	26	68	0	0	0	100	0	8440	410	3760	370	0	0	0	0	0.188	0.006	0	0	0	0	0	0	0.667523	0.026438047979685	0.020814816573203
69Fe	26	69	0	0	0	100	0	11250	420	4830	440	150	400	0	0	0.162	0.007	0	0	0	0	0	0	0.663026	0.032121525695527	0.021209830221112
70Fe	26	70	0	0	0	100	0	10120	500	5700	420	0	0	0	0	0.063	0.005	0	0	0	0	0	0	0.658668	0.035865358520467	0.02254240408212
71Fe	26	71	0	0	0	100	0	12940	610	7130	500	2710	420	0	0	0.035	0.007	0	0	0	0	0	0	0.652953	0.043232446821665	0.025015279774332
72Fe	26	72	0	0	0	100	0	11770	640	7870	680	2060	580	0	0	0.019	0.004	0	0	0	0	0	0	0.650216	0.048194976947711	0.02606620152593
73Fe	26	73	0	0	0	100	0	14520	640	9230	640	5330	680	0	0	0	0	0	0	0	0	0	0	0.641883	0.049514877523024	0.02912972461456
74Fe	26	74	0	0	0	0	0	13230	780	9760	720	4470	720	570	760	0	0	0	0	0	0	0	0	0.639107	0.050755709104534	0.030830905236533
75Fe	26	75	0	0	0	0	0	16010	780	11110	780	7640	720	2350	720	0	0	0	0	0	0	0	0	0.633089	0.049373180875136	0.033486157658485
66Co	27	66	0	0	0	100	0	9598	14	646	14	0	0	0	0	0.209	0.019	0	0	0	0	0	0	0.673933	0.020231273035578	0.020296985998914
67Co	27	67	0	0	0	100	0	8420.9	7.1	2613.2	6.6	0	0	0	0	0.329	0.028	0	0	0	0	0	0	0.669545	0.022261694911271	0.020416181849761
67Co	27	67	1	0	0	0	0	8420.9	7.1	2613.2	6.6	0	0	0	0	0.496	0.033	0	0	0	0	0	0	0.669545	0.022261694911271	0.020416181849761
68Co	27	68	0	0	0	100	0	11530	190	3740	190	0	0	0	0	0.199	0.03	0	0	0	0	0	0	0.66758	0.026374166750061	0.020800989177441
68Co	27	68	1	0	0	100	0	11530	190	3740	190	0	0	0	0	1.6	0.3	0	0	0	0	0	0	0.66758	0.026374166750061	0.020800989177441
69Co	27	69	0	0	0	100	0	9700	140	5110	140	0	0	0	0	0.18	0.02	0	0	0	0	0	0	0.662516	0.033875497475763	0.021108253580777
69Co	27	69	1	0	0	0	0	9700	140	5110	140	0	0	0	0	0.75	0.25	0	0	0	0	0	0	0.662516	0.033875497475763	0.021108253580777
70Co	27	70	0	0	0	100	0	12580	300	5280	300	690	300	0	0	0.114	0.007	0	0	0	0	0	0	0.661416	0.033949392064519	0.021454827255198
70Co	27	70	1	0	0	100	0	12580	300	5280	300	690	300	0	0	0.5	0.18	0	0	0	0	0	0	0.661416	0.033949392064519	0.021454827255198
71Co	27	71	0	0	0	100	0	11040	470	6770	470	0	0	0	0	0.08	0.003	1.8	1.8	0	0	0	0	0.654284	0.040209419871349	0.024554629021641
72Co	27	72	0	0	0	100	0	14030	400	7140	400	2870	400	0	0	0.0573	0.002	0	0	0	0	0	0	0.652968	0.043192540017017	0.025010035768099
73Co	27	73	0	0	0	100	0	12690	400	8740	400	1850	400	0	0	0.0405	0.0013	3.95	3.95	0	0	0	0	0.644687	0.047950498685333	0.028099228657956
74Co	27	74	0	0	0	100	0	15640	540	9220	500	5260	500	0	0	0.0314	0.0015	18	15	0	0	0	0	0.641829	0.049564001651571	0.029149669701678
75Co	27	75	0	0	0	100	0	14380	580	10740	540	4320	500	360	500	0.0265	0.0012	8	8	0	0	0	0	0.634366	0.050909843456452	0.033464292548333
76Co	27	76	0	0	0	100	0	17120	720	11450	670	7800	630	1380	600	0.0225	0.0057	0	0	0	0	0	0	0.630665	0.047587779240079	0.034431995759794
77Co	27	77	0	0	0	100	0	15790	780	12550	720	6870	670	3230	630	0.01445	0.00575	0	0	0	0	0	0	0.624613	0.052441106975274	0.037035257320452
72Ni	28	72	0	0	0	100	0	5556.9	2.6	413.8	2.7	0	0	0	0	1.587	0.093	0	0	0	0	0	0	0.672179	0.020215304777245	0.020195896792094
73Ni	28	73	0	0	0	100	0	8879.3	3.1	1603.5	2.8	0	0	0	0	0.842	0.03	0	0	0	0	0	0	0.6732	0.020738175835883	0.020203957656855
74Ni	28	74	0	0	0	100	0	7550	200	2460	200	0	0	0	0	0.5077	0.0046	0	0	0	0	0	0	0.669589	0.021479071465706	0.020409649850718
75Ni	28	75	0	0	0	100	0	10440	300	3910	300	0	0	0	0	0.3318	0.0032	10	2.8	0	0	0	0	0.666586	0.027243847192649	0.020931028805494
76Ni	28	76	0	0	0	100	0	9350	400	4770	400	0	0	0	0	0.2347	0.0027	14	3.6	0	0	0	0	0.663109	0.031836503063196	0.02122643180784
77Ni	28	77	0	0	0	100	0	11820	520	6110	500	1530	500	0	0	0.15865	0.00415	30	24	0	0	0	0	0.656692	0.037459038222806	0.023473689815996
78Ni	28	78	0	0	0	100	0	10610	780	6660	620	940	600	0	0	0.1222	0.0051	0	0	0	0	0	0	0.654615	0.039900501342746	0.024443560182643
79Ni	28	79	0	0	0	100	0	14170	670	8860	780	4910	620	0	0	0.04355	0.00805	0	0	0	0	0	0	0.643776	0.047798572294143	0.028430046664724
80Ni	28	80	0	0	0	100	0	13570	810	11040	760	5720	860	1780	720	0.0285	0.0215	0	0	0	0	0	0	0.634355	0.050900445188844	0.033464927437879
73Cu	29	73	0	0	0	100	0	6606	2.7	1086.7	2.9	0	0	0	0	4.2	0.15	0.029	0.006	0	0	0	0	0.673276	0.020430257339505	0.020203494647174
74Cu	29	74	0	0	0	100	0	9750.5	6.6	1515.9	6.4	0	0	0	0	1.598	0.014	0.075	0.016	0	0	0	0	0.6732	0.020634226808873	0.020205637629137
75Cu	29	75	0	0	0	100	0	8087.6	3	3214.1	3.4	0	0	0	0	1.224	0.003	2.7	0.6	0	0	0	0	0.669049	0.024899480576127	0.020496212063718
76Cu	29	76	0	0	0	100	0	11327	6.9	3511.6	7	0	0	0	0	0.637	0.008	3.85	3.85	0	0	0	0	0.668216	0.0256831537275	0.020656757160561
76Cu	29	76	1	0	0	100	0	11327	6.9	3511.6	7	0	0	0	0	1.27	0.3	3.85	3.85	0	0	0	0	0.668216	0.0256831537275	0.020656757160561
77Cu	29	77	0	0	0	100	0	10170	150	5610	150	0	0	0	0	0.4698	0.002	30.5	2	0	0	0	0	0.659168	0.035240357092425	0.022324466555813
78Cu	29	78	0	0	0	100	0	12990	500	6220	500	1660	500	0	0	0.3317	0.002	51	10	0	0	0	0	0.656248	0.037938110044566	0.023698054239823
79Cu	29	79	0	0	0	100	0	11690	300	7670	300	910	300	0	0	0.2413	0.0021	66	12	0	0	0	0	0.65085	0.047179039320974	0.025815686980013
80Cu	29	80	0	0	0	100	0	15450	400	9160	400	5140	400	0	0	0.1133	0.0064	58	9	0	0	0	0	0.64212	0.049298477927417	0.029040766328732
81Cu	29	81	0	0	0	100	0	14780	500	12160	500	5870	500	1850	500	0.0732	0.0068	81	20	0	0	0	0	0.62606	0.050283384405189	0.036576454273754
82Cu	29	82	0	0	0	0	0	16990	600	12810	600	10190	600	3900	600	0.03275	0.00695	0	0	0	0	0	0	0.623496	0.054487205028469	0.037609292998066
78Zn	30	78	0	0	0	100	0	6222.7	2.7	437.8	3.1	0	0	0	0	1.47	0.15	0	0	0	0	0	0	0.672575	0.020199227251618	0.02018781381335
79Zn	30	79	0	0	0	100	0	9115.4	2.9	2202.3	2.9	0	0	0	0	0.746	0.042	1.75	0.45	0	0	0	0	0.670823	0.021479599893762	0.020283097583853
80Zn	30	80	0	0	0	100	0	7575.1	3.9	2827.8	3.2	0	0	0	0	0.5619	0.003	1	0.5	0	0	0	0	0.669477	0.023504024956932	0.02042645924227
81Zn	30	81	0	0	0	100	0	11428.3	6	4952.7	5.8	205.4	5.4	0	0	0.3035	0.0031	9.8	3	0	0	0	0	0.66276	0.033026585909537	0.021156868786283
82Zn	30	82	0	0	0	100	0	10616.8	3.9	7242.7	4.5	767.1	4.2	0	0	0.1779	0.0025	69	7	0	0	0	0	0.652361	0.044482584264956	0.025233914240341
83Zn	30	83	0	0	0	100	0	12970	300	8570	300	5200	300	0	0	0.0997	0.003	67	25	0	0	0	0	0.645781	0.048164167240438	0.027708588740044
84Zn	30	84	0	0	0	0	0	12160	450	9260	400	4860	400	1480	400	0.0536	0.0081	73	26	0	0	0	0	0.641741	0.049412816393856	0.029196009333005
85Zn	30	85	0	0	0	0	0	14620	580	10790	540	7880	500	3490	500	0	0	0	0	0	0	0	0	0.634467	0.050996316118717	0.033462725840554
79Ga	31	79	0	0	0	100	0	6979	37	1243	4	0	0	0	0	2.852	0.01	0.084	0.029	0	0	0	0	0.6732	0.020527282942465	0.020212558967137
80Ga	31	80	0	0	0	100	0	10311.6	3.5	2232	37	0	0	0	0	1.9	0.1	0.4595	0.4595	0	0	0	0	0.670621	0.021450241795302	0.020299929115071
80Ga	31	80	1	22.4	0	100	0	10311.6	3.5	2232	37	0	0	0	0	1.3	0.2	0.4595	0.4595	0	0	0	0	0.670621	0.021450241795302	0.020299929115071
81Ga	31	81	0	0	0	100	0	8663.7	3.9	3836	3.9	0	0	0	0	1.217	0.004	12.5	0.8	0	0	0	0	0.667074	0.026822910903338	0.020870618709765
82Ga	31	82	0	0	0	100	0	12484.3	3.3	5289.6	3.2	462	3.2	0	0	0.601	0.002	22.7	2	0	0	0	0	0.661289	0.033952034348017	0.021499163992325
83Ga	31	83	0	0	0	100	0	11719.3	3.6	8086.6	3.4	891.9	3.3	0	0	0.31	0.001	66	6	0	0	0	0	0.64859	0.046600605417634	0.026653110780733
84Ga	31	84	0	0	0	100	0	14060	200	8820	200	5180	200	0	0	0.0918	0.0012	50.5	8.3	0	0	0	0	0.644088	0.047834370285074	0.028316303034994
85Ga	31	85	0	0	0	100	0	13270	300	10230	300	4980	300	1350	300	0.0919	0.0012	70	5	0.05	0.05	0	0	0.63661	0.053827979145515	0.032415519846055
86Ga	31	86	0	0	0	100	0	15320	590	10970	400	7930	400	2680	400	0.0503	0.0068	60	10	20	10	0	0	0.633517	0.050004568934849	0.033479445251678
87Ga	31	87	0	0	0	100	0	14830	580	12080	670	7730	500	4680	500	0.029	0.014	0	0	0	0	0	0	0.626149	0.050155471667415	0.036548655477061
83Ge	32	83	0	0	0	100	0	8692.9	3.7	1057.7	4.4	0	0	0	0	1.85	0.06	0	0	0	0	0	0	0.673309	0.020397526260135	0.020201021373507
84Ge	32	84	0	0	0	100	0	7705.1	4.5	3449.6	4.2	0	0	0	0	0.952	0.011	10.6	0.6	0	0	0	0	0.66834	0.025553463249431	0.020630805123407
85Ge	32	85	0	0	0	100	0	10065.7	4.8	4658.8	4.9	403.3	4.7	0	0	0.497	0.006	16.2	1.8	0	0	0	0	0.6633	0.031099520912709	0.021265469686795
86Ge	32	86	0	0	0	100	0	9560	440	5720	440	310	440	0	0	0.222	0.022	45	15	0	0	0	0	0.658347	0.036268364398855	0.022686808152936
87Ge	32	87	0	0	0	100	0	11540	300	6810	300	2970	300	0	0	0.1032	0.0035	0	0	0	0	0	0	0.654036	0.040439045245485	0.024639119086656
88Ge	32	88	0	0	0	0	0	10580	450	7410	400	2680	400	0	0	0.0608	0.0061	0	0	0	0	0	0	0.651839	0.045488808675639	0.025432111074956
89Ge	32	89	0	0	0	0	0	13070	500	8920	450	5750	400	1020	400	0	0	0	0	0	0	0	0	0.643343	0.048189765823088	0.028588271967436
90Ge	32	90	0	0	0	0	0	12110	640	9510	580	5360	540	2180	500	0	0	0	0	0	0	0	0	0.640105	0.044501483064304	0.030203591490459
84As	33	84	0	0	0	100	0	10094.2	3.7	1415.7	4.4	0	0	0	0	4.19	0.24	0.281	0.038	0	0	0	0	0.6732	0.020547250545998	0.020207920526368
85As	33	85	0	0	0	100	0	9224.5	4	4687.3	3.6	0	0	0	0	2.023	0.007	62.5	1	0	0	0	0	0.663227	0.031377184261436	0.021250749261523
86As	33	86	0	0	0	100	0	11541	4.3	5380.2	4.3	842.9	4	0	0	0.944	0.01	35.4	0.6	0	0	0	0	0.660617	0.033963805184639	0.021742417129199
87As	33	87	0	0	0	100	0	10808.2	3.7	6813.9	3.9	653.1	4	0	0	0.484	0.035	15.4	2.2	0	0	0	0	0.653951	0.040601427664072	0.024668578077403
88As	33	88	0	0	0	100	0	13160	200	7640	200	3640	200	0	0	0.255	0.145	0	0	0	0	0	0	0.650872	0.047145632547942	0.025806376214912
89As	33	89	0	0	0	0	0	12190	300	9020	300	3490	300	0	0	0	0	0	0	0	0	0	0	0.642788	0.048694056522841	0.02879246312231
90As	33	90	0	0	0	0	0	14470	520	9590	400	6410	400	880	400	0	0	0	0	0	0	0	0	0.639723	0.046201620037138	0.030442488828217
91As	33	91	0	0	0	100	0	13680	590	10830	520	5950	400	2770	400	0	0	0	0	0	0	0	0	0.633855	0.05046937135454	0.033473679942942
92As	33	92	0	0	0	100	0	15740	640	11530	660	8680	600	3800	500	0	0	0	0	0	0	0	0	0.629538	0.047179074175948	0.034983867540619
86Se	34	86	0	0	0	100	0	5129.1	4	1	4	0	0	0	0	14.1	0.2	0	0	0	0	0	0	0.675081	0.020254833124588	0.020260762125471
87Se	34	87	0	0	0	100	0	7465.6	3.9	1134.8	3.8	0	0	0	0	5.65	0.12	0.6	0.12	0	0	0	0	0.6732	0.020515048915369	0.020215865848388
88Se	34	88	0	0	0	100	0	6831.8	4.6	1936.2	4.6	0	0	0	0	1.51	0.06	0.99	0.1	0	0	0	0	0.672215	0.02128045419164	0.020209083343945
89Se	34	89	0	0	0	100	0	9281.9	5	3652.3	4.9	0	0	0	0	0.44	0.06	7.8	2.5	0	0	0	0	0.667771	0.026164387965265	0.020755730259302
90Se	34	90	0	0	0	100	0	8200	330	4400	330	0	0	0	0	0.21	0.08	0	0	0	0	0	0	0.663832	0.029493824045071	0.021326568683255
91Se	34	91	0	0	0	100	0	10530	430	5350	430	1550	430	0	0	0.27	0.05	21	10	0	0	0	0	0.660757	0.033961384066968	0.021690271015921
92Se	34	92	0	0	0	100	0	9510	400	6310	400	1130	400	0	0	0	0	0	0	0	0	0	0	0.655762	0.038596111936044	0.023949732808105
93Se	34	93	0	0	0	100	0	12180	590	7450	400	4250	400	0	0	0	0	0	0	0	0	0	0	0.651585	0.045980046052636	0.025529511393728
94Se	34	94	0	0	0	100	0	10600	580	8020	660	3290	500	90	500	0	0	0	0	0	0	0	0	0.649036	0.047048186536427	0.026490007122808
95Se	34	95	0	0	0	0	0	13310	580	8870	580	6290	660	1560	500	0	0	0	0	0	0	0	0	0.643707	0.047862691813814	0.028455070421001
87Br	35	87	0	0	0	100	0	6817.8	3.2	1302.7	3.2	0	0	0	0	55.64	0.15	2.54	0.11	0	0	0	0	0.6732	0.020534297163526	0.020210826108796
88Br	35	88	0	0	0	100	0	8975.3	4.1	1922.3	3.2	0	0	0	0	16.29	0.08	6.72	0.27	0	0	0	0	0.672267	0.021263168234299	0.020207706039036
89Br	35	89	0	0	0	100	0	8261.5	3.9	3345.7	4.2	0	0	0	0	4.338	0.022	13.6	0.6	0	0	0	0	0.668641	0.025264037468166	0.020570784846303
90Br	35	90	0	0	0	100	0	10959	3.8	4464.2	4	0	0	0	0	1.911	0.01	25.6	1.5	0	0	0	0	0.663597	0.029977782599253	0.021326792575727
91Br	35	91	0	0	0	100	0	9866.7	4.2	5780.6	4	0	0	0	0	0.544	0.01	29.8	0.8	0	0	0	0	0.657863	0.036853038993984	0.022910736568083
92Br	35	92	0	0	0	100	0	12536.5	7.2	6669.8	7.1	2583.8	7	0	0	0.334	0.014	33.1	2.5	0	0	0	0	0.654461	0.040043692143319	0.02449534424067
93Br	35	93	0	0	0	100	0	11250	430	7810	430	1940	430	0	0	0.152	0.008	64	7	0	0	0	0	0.650201	0.048219485795277	0.026071835519597
94Br	35	94	0	0	0	100	0	13950	300	8670	300	5230	300	0	0	0.07	0.02	30	10	0	0	0	0	0.644835	0.047979741646892	0.028046482997027
95Br	35	95	0	0	0	100	0	12390	300	9510	300	4220	300	780	300	0	0	0	0	0	0	0	0	0.640033	0.044287766911192	0.030248556097442
96Br	35	96	0	0	0	100	0	14920	300	9920	300	7040	300	1760	300	0	0	0	0	0	0	0	0	0.637946	0.056975519427421	0.031568795115183
97Br	35	97	0	0	0	0	0	13370	420	10950	400	5960	400	3080	400	0	0	0	0	0	0	0	0	0.63354	0.050038131284452	0.033479013716655
98Br	35	98	0	0	0	0	0	16060	500	11100	420	8690	400	3690	400	0	0	0	0	0	0	0	0	0.632999	0.049241096500798	0.033487920950709
91Kr	36	91	0	0	0	100	0	6771.1	8.1	319.1	6.9	0	0	0	0	8.57	0.04	0	0	0	0	0	0	0.672029	0.020247409196164	0.02019519765085
92Kr	36	92	0	0	0	100	0	6003.1	6.7	904.4	8.3	0	0	0	0	3.74	0.05	0.0332	0.0026	0	0	0	0	0.673532	0.020246398704994	0.020232144239344
93Kr	36	93	0	0	0	100	0	8483.9	8.2	2565.1	6.6	0	0	0	0	1.284	0.012	1.95	0.2	0	0	0	0	0.66955	0.022155615162979	0.020415434902299
94Kr	36	94	0	0	0	100	0	7215	12	3201	14	0	0	0	0	0.211	0.005	1.11	0.07	0	0	0	0	0.669011	0.024933523263047	0.02050282583716
95Kr	36	95	0	0	0	100	0	9733	28	4333	19	318	20	0	0	0.114	0.003	2.87	0.18	0	0	0	0	0.664149	0.029242361751078	0.021276649190625
96Kr	36	96	0	0	0	100	0	8275	21	4741	29	0	0	0	0	0.08	0.007	3.7	0.4	0	0	0	0	0.663116	0.031809316049082	0.021228024178204
97Kr	36	97	0	0	0	100	0	11100	130	5860	130	2330	130	0	0	0.0621	0.004	6.7	0.6	0	0	0	0	0.657541	0.037019487111694	0.023061462789964
98Kr	36	98	0	0	0	0	0	10060	300	6140	300	900	300	0	0	0.043	0.004	7	1	0	0	0	0	0.656408	0.037722870267486	0.023616682349932
99Kr	36	99	0	0	0	100	0	12360	400	7540	400	3620	400	0	0	0.037	0.011	11	7	0	0	0	0	0.651207	0.04661074191819	0.025675911321005
100Kr	36	100	0	0	0	100	0	11200	400	8000	400	3170	400	0	0	0.011	0.007	0	0	0	0	0	0	0.648857	0.046868508519091	0.026555335335938
101Kr	36	101	0	0	0	0	0	13720	540	9050	500	5850	500	1030	500	0	0	0	0	0	0	0	0	0.642426	0.049022399716134	0.028926598312425
91Rb	37	91	0	0	0	100	0	5906.9	8.9	131.8	8.1	0	0	0	0	57.9	0.2	0	0	0	0	0	0	0.673159	0.020202869087159	0.020195182008412
92Rb	37	92	0	0	0	100	0	8094.9	6.4	808.2	7.6	0	0	0	0	4.5	0.02	0.0109	0.0007	0	0	0	0	0.673677	0.020215938249216	0.020296730556819
93Rb	37	93	0	0	0	100	0	7465.9	8.9	2176.1	8.6	0	0	0	0	5.85	0.03	1.44	0.09	0	0	0	0	0.67083	0.021480495804567	0.02028255841875
94Rb	37	94	0	0	0	100	0	10282.9	2.6	3451.7	7.8	0	0	0	0	2.704	0.015	10.3	0.3	0	0	0	0	0.668289	0.025606292386226	0.020641392631528
95Rb	37	95	0	0	0	100	0	9228	20	4883	20	0	0	0	0	0.378	0.002	8.94	0.57	0	0	0	0	0.662856	0.032697129752662	0.021176026777051
96Rb	37	96	0	0	0	100	0	11569.8	9.1	5693.9	6.7	1348.7	3.7	0	0	0.2023	0.002	14	0.6	0	0	0	0	0.658386	0.036220370421855	0.02266915387694
97Rb	37	97	0	0	0	100	0	10062.3	3.9	6333.7	8.7	457.8	6.1	0	0	0.169	0.0008	24.9	1.5	0	0	0	0	0.655618	0.038791116131553	0.024025167527649
98Rb	37	98	0	0	0	100	0	12054	16	6141	16	2412	18	0	0	0.115	0.006	7.7	7.7	0.0305	0.0305	0	0	0.656405	0.037727941006932	0.023618263518356
98Rb	37	98	1	270	0	100	0	12054	16	6141	16	2412	18	0	0	0.96	0.03	7.7	7.7	0.0305	0.0305	0	0	0.656405	0.037727941006932	0.023618263518356
99Rb	37	99	0	0	0	100	0	11400.3	6.2	7230.6	5.2	1317.7	5.3	0	0	0.0578	0.0009	19.1	1.8	0	0	0	0	0.652343	0.04451827093098	0.025240440778324
100Rb	37	100	0	0	0	100	0	13574	21	8203	20	4033	20	0	0	0.051	0.002	5.6	1.2	0.027	0.007	0	0	0.647604	0.046395660042017	0.02701763260788
101Rb	37	101	0	0	0	100	0	12480	200	8910	200	3530	200	0	0	0.0315	0.0045	28	5	0	0	0	0	0.643264	0.048261215705019	0.028617671818763
102Rb	37	102	0	0	0	100	0	14450	310	9550	300	5970	300	600	300	0.037	0.005	18	8	0	0	0	0	0.639779	0.04579790580318	0.030407079898552
103Rb	37	103	0	0	0	100	0	13810	450	10480	410	5570	400	2000	400	0.025	0.011	0	0	0	0	0	0	0.635083	0.051577924301004	0.033400102757329
96Sr	38	96	0	0	0	100	0	5411.7	9.7	213	11	0	0	0	0	1.07	0.02	0	0	0	0	0	0	0.673209	0.020204567872461	0.020196522545055
97Sr	38	97	0	0	0	100	0	7540	7.5	1683.1	7	0	0	0	0	0.429	0.005	0.03	0.02	0	0	0	0	0.6732	0.020877574020944	0.020202138995661
98Sr	38	98	0	0	0	100	0	5871.7	8.6	1627	7.5	0	0	0	0	0.653	0.002	0.23	0.03	0	0	0	0	0.6732	0.020796153875176	0.020203164603596
99Sr	38	99	0	0	0	100	0	8128.4	8.1	1702.1	9.2	0	0	0	0	0.269	0.002	0.096	0.016	0	0	0	0	0.6732	0.020905463783423	0.020201846747266
100Sr	38	100	0	0	0	100	0	7506	13	2757.6	9.8	0	0	0	0	0.2	0.002	1.11	0.21	0	0	0	0	0.669494	0.02327540844824	0.020423869134726
101Sr	38	101	0	0	0	100	0	9736	11	3931	14	0	0	0	0	0.113	0.002	2.52	0.25	0	0	0	0	0.666421	0.027388750506675	0.020952161662151
102Sr	38	102	0	0	0	100	0	9014	67	4830	67	0	0	0	0	0.072	0.008	5.5	2	0	0	0	0	0.662926	0.032461579279641	0.021189363778283
103Sr	38	103	0	0	0	100	0	11040	200	5680	200	1500	200	0	0	0.053	0.01	0	0	0	0	0	0	0.658365	0.036245177705489	0.022678426993566
104Sr	38	104	0	0	0	100	0	9960	500	6280	300	920	300	0	0	0.053	0.005	0	0	0	0	0	0	0.655795	0.038551028297861	0.023932310854209
105Sr	38	105	0	0	0	100	0	12700	1400	7380	640	3700	500	0	0	0.039	0.005	0	0	0	0	0	0	0.651785	0.0455919720302	0.025452617814333
106Sr	38	106	0	0	0	100	0	11260	780	8400	1500	3130	720	-550	600	0.0205	0.0075	0	0	0	0	0	0	0.64636	0.047616134299626	0.02748729613185
107Sr	38	107	0	0	0	0	0	13470	860	9080	860	6200	1500	950	810	0	0	0	0	0	0	0	0	0.642204	0.049223073815584	0.029009528156356
97Y	39	97	0	0	0	100	0	6821.2	6.7	1246.1	6.7	0	0	0	0	3.74	0.05	0.058	0.01	0	0	0	0	0.6732	0.020528536625878	0.020212236788639
97Y	39	97	1	667.52	0.23	99.3	0	6821.2	6.7	1246.1	6.7	0	0	0	0	1.17	0.03	0.04	0.04	0	0	0	0	0.6732	0.020528536625878	0.020212236788639
97Y	39	97	2	3522.6	0.4	5.2	0.9	6821.2	6.7	1246.1	6.7	0	0	0	0	0.138	0.015	0	0	0	0	0	0	0.6732	0.020528536625878	0.020212236788639
98Y	39	98	0	0	0	100	0	8992	12	2576.6	7.9	0	0	0	0	0.548	0.002	0.33	0.03	0	0	0	0	0.669546	0.022236777228376	0.020416032364404
